"filename", "language", "JavaScript", "XML", "PHP", "JSON", "CSS", "SCSS", "Markdown", "comment", "blank", "total"
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\img\logos\gray-logos\logo-nasa.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\img\logos\gray-logos\logo-netflix.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\img\logos\gray-logos\logo-pinterest.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\img\logos\gray-logos\logo-spotify.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\img\logos\gray-logos\logo-vodafone.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\img\shapes\pattern-lines.svg", "XML", 0, 91, 0, 0, 0, 0, 0, 0, 0, 91
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\img\shapes\waves-white.svg", "XML", 0, 324, 0, 0, 0, 0, 0, 0, 0, 324
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\img\small-logos\bootstrap.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\img\small-logos\creative-tim.svg", "XML", 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\img\small-logos\devto.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\img\small-logos\github.svg", "XML", 0, 10, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\img\small-logos\google-webdev.svg", "XML", 0, 11, 0, 0, 0, 0, 0, 0, 0, 11
